Folder,Total_Energy_Hartree
BAMOF_with_BMI_10,-1376.276416903232075
BAMOF_with_BMI_11,-1376.273419453058295
BAMOF_with_BMI_12,-1376.279353329635796
BAMOF_with_BMI_2,-1376.275626681983795
BAMOF_with_BMI_3,-1376.265018390356090
BAMOF_with_BMI_4,-1376.277693294112396
BAMOF_with_BMI_5,-1376.276364668742644
BAMOF_with_BMI_6,-1376.274862525958042
BAMOF_with_BMI_7,-1376.273350194969453
BAMOF_with_BMI_8,-1376.270977032799919
BAMOF_with_BMI_9,-1376.279543884751774
