Folder,Total_Energy_Hartree
EMIM01/,-1362.507840745292924
EMIM02/,-1362.490894929088654
EMIM03/,-1362.496443106215565
EMIM04/,-1362.504736842782677
EMIM05/,-1362.505016639090400
EMIM06/,-1362.502372057857428
EMIM07/,-1362.501731295485115
EMIM08/,-1362.494264149154105
EMIM09/,-1362.491233130673891
